City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Los Llanos De Aridane,ES,2021-02-04 19:09:56,28.6585,-17.9182,64.4,42,20,4.61
67,Lebu,CL,2021-02-04 19:09:56,-37.6167,-73.65,71.53,51,2,5.14
68,Panna,IN,2021-02-04 19:09:57,24.7167,80.2,62.53,32,21,2.53
69,Leningradskiy,RU,2021-02-04 19:09:58,69.3833,178.4167,-26.16,85,100,8.01
70,Gat,IL,2021-02-04 19:09:02,31.61,34.7642,57.99,100,100,6.62
71,Kikwit,CD,2021-02-04 19:09:58,-5.041,18.8162,74.7,85,79,1.14
72,Georgetown,MY,2021-02-04 19:08:34,5.4112,100.3354,77.0,65,20,2.3
73,Chokurdakh,RU,2021-02-04 19:09:59,70.6333,147.9167,-7.96,85,0,18.75
74,Bontang,ID,2021-02-04 19:10:00,0.1333,117.5,78.26,82,100,2.28
75,Pangnirtung,CA,2021-02-04 19:10:00,66.1451,-65.7125,1.4,78,90,4.61
76,Dunedin,NZ,2021-02-04 19:10:02,-45.8742,170.5036,52.0,70,23,15.99
77,Skibbereen,IE,2021-02-04 19:10:03,51.55,-9.2667,44.6,93,75,8.05
78,Nishihara,JP,2021-02-04 19:10:03,26.1842,127.7558,60.8,58,20,3.44
79,Port Hawkesbury,CA,2021-02-04 19:10:04,45.6169,-61.3485,39.99,93,90,3.44
80,Busselton,AU,2021-02-04 19:10:04,-33.65,115.3333,54.0,78,40,11.45
81,Te Anau,NZ,2021-02-04 19:10:04,-45.4167,167.7167,51.06,85,30,0.54
82,Kaitangata,NZ,2021-02-04 19:10:05,-46.2817,169.8464,51.01,76,45,1.99
83,Geraldton,AU,2021-02-04 19:10:05,-28.7667,114.6,77.0,33,40,18.41
84,Malanje,AO,2021-02-04 19:10:07,-9.5402,16.341,66.78,92,43,3.11
85,Severo-Kurilsk,RU,2021-02-04 19:10:07,50.6789,156.125,7.79,88,80,9.62
86,Coquimbo,CL,2021-02-04 19:10:08,-29.9533,-71.3436,66.2,68,0,13.8
87,Mangrol,IN,2021-02-04 19:10:10,21.1167,70.1167,66.78,48,0,10.31
88,Los Andes,CL,2021-02-04 19:10:11,-32.8337,-70.5983,91.99,42,0,3.0
89,Gorontalo,ID,2021-02-04 19:10:12,0.5412,123.0595,74.39,88,100,2.86
90,Carnarvon,AU,2021-02-04 19:10:12,-24.8667,113.6333,78.75,85,100,20.49
91,Dikson,RU,2021-02-04 19:10:13,73.5069,80.5464,-9.06,91,100,11.3
