City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Conceicao Da Barra,BR,79.77,moderate rain,-18.5933,-39.7322,Cricaré Praia Hotel
307,Sumenep,ID,84.67,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
310,Waingapu,ID,85.26,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
316,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
320,Avarua,CK,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
326,Makakilo City,US,75.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
338,Hobyo,SO,76.12,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
344,Poum,NC,80.01,clear sky,-20.2333,164.0167,Gîte kajeon
345,Boyolangu,ID,85.08,light rain,-8.1181,111.8935,Yos ega cv
350,Puerto Carreno,CO,80.67,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
351,Roura,GF,77.0,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
352,Saint-Georges,GD,77.0,scattered clouds,12.0564,-61.7485,Siesta Hotel
355,Banda Aceh,ID,83.32,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
368,Salinopolis,BR,79.34,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
369,Bambous Virieux,MU,78.8,broken clouds,-20.3428,57.7575,Casa Tia Villa
371,Nakhon Thai,TH,84.99,clear sky,17.1006,100.8374,Phet resort
372,San-Pedro,CI,77.97,clear sky,4.7485,-6.6363,Hotel Maria
378,Ahuimanu,US,75.2,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
381,Conde,BR,78.8,clear sky,-7.2597,-34.9075,Pousada Beija Flor
389,Dingle,PH,83.68,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
391,Biak,ID,82.72,overcast clouds,-0.9131,122.8766,Penginapan Kim
399,Pochutla,MX,78.01,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
400,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
402,Broken Hill,AU,77.0,clear sky,-31.95,141.4333,Royal Exchange Hotel
405,Tautira,PF,82.4,broken clouds,-17.7333,-149.15,Pension Oaoa
406,Ternate,ID,83.55,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
412,Iracoubo,GF,77.43,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
416,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
