City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Zeya,RU,53.75,127.2667,-6.32,80,97,1.03,overcast clouds
80,Fare,PF,-16.7,-151.0167,81.32,66,6,4.45,clear sky
81,Kruisfontein,ZA,-34.0033,24.7314,66.0,92,56,3.0,broken clouds
82,Smirnykh,RU,49.75,142.8333,1.45,84,92,3.56,overcast clouds
83,Northam,GB,51.0333,-4.2167,39.99,97,30,3.0,scattered clouds
84,Najran,SA,17.4924,44.1277,66.2,34,0,6.91,clear sky
85,Chicama,PE,-7.8447,-79.1469,73.51,63,98,4.7,overcast clouds
86,Malanje,AO,-9.5402,16.341,63.57,93,100,3.33,overcast clouds
87,Waw,SS,7.7029,27.9953,66.25,25,71,6.49,broken clouds
88,Shirokiy,RU,49.758,129.523,-9.17,88,100,6.2,overcast clouds
89,Lincoln,US,40.8,-96.667,19.99,79,1,3.22,clear sky
90,Jeremie,HT,18.65,-74.1167,76.93,77,18,2.26,few clouds
91,Upernavik,GL,72.7868,-56.1549,8.15,73,100,4.94,overcast clouds
92,Viedma,AR,-40.8135,-62.9967,66.99,81,0,1.01,clear sky
93,Rocha,UY,-34.4833,-54.3333,57.18,90,0,3.83,clear sky
94,Hithadhoo,MV,-0.6,73.0833,81.72,80,89,17.34,overcast clouds
95,Praia Da Vitoria,PT,38.7333,-27.0667,57.99,94,75,15.77,broken clouds
96,Butaritari,KI,3.0707,172.7902,81.18,81,20,18.45,light rain
97,Kapaa,US,22.0752,-159.319,71.6,56,1,8.05,clear sky
98,Rawson,AR,-43.3002,-65.1023,63.27,64,0,23.47,clear sky
99,Asau,RO,46.4333,26.4,33.01,76,100,1.43,overcast clouds
100,Kenai,US,60.5544,-151.2583,17.01,86,90,4.61,light snow
101,Boali,CF,4.8005,18.1275,71.6,94,0,1.72,clear sky
102,Castel San Giovanni,IT,45.0583,9.4335,46.99,93,100,2.62,overcast clouds
103,Hami,CN,42.8,93.45,33.85,74,0,5.14,clear sky
104,Hermanus,ZA,-34.4187,19.2345,60.01,92,4,4.63,clear sky
105,Kyzyl-Suu,KG,42.3414,78.0056,27.63,76,75,6.31,broken clouds
106,Jiazi,CN,22.8779,116.067,71.46,49,0,3.94,clear sky
107,Ostrow Wielkopolski,PL,51.655,17.8069,34.0,61,100,11.41,overcast clouds
108,Pasni,PK,25.2631,63.471,65.16,36,0,4.25,clear sky
109,Barrow,US,71.2906,-156.7887,-11.2,77,20,8.05,mist
110,Zabol,AF,32.25,67.25,34.2,77,0,0.81,clear sky
111,Batagay-Alyta,RU,67.8006,130.4114,-24.72,84,100,2.71,overcast clouds
112,Karratha,AU,-20.7377,116.8463,83.77,64,43,12.82,scattered clouds
113,Faanui,PF,-16.4833,-151.75,81.64,64,3,4.25,clear sky
114,Kaitangata,NZ,-46.2817,169.8464,64.2,62,84,5.32,broken clouds
115,Fortuna,US,40.5982,-124.1573,50.0,93,90,12.66,overcast clouds
116,Norman Wells,CA,65.282,-126.8329,-36.4,74,20,3.44,few clouds
117,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,74.05,98,100,2.51,overcast clouds
118,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,75,6.91,broken clouds
